Country,Sector,Indicator,Year,Value
USA,Agriculture,GDP,2015,5663.27
USA,Agriculture,GDP,2016,3366.2
USA,Agriculture,GDP,2017,7721.87
USA,agriculture,GDP,2018,7975.03
USA,Agriculture,GDP,2019,8814.95
USA,Agriculture,GDP,2020,1095.99
USA,Agriculture,GDP,2021,9244.44
USA,Agriculture,GDP,2022,2315.47
USA,Agriculture,GDP,2023,315.78
USA,Agriculture,Inflation,2015,11.17
USA,Agriculture,Inflation,2016,1.19
USA,Agriculture,Inflation,2017,11.31
USA,Agriculture,Inflation,2018,11.14
USA,Agriculture,Inflation,2019,13.85
USA,Agriculture,Inflation,2020,6.43
USA,Agriculture,Inflation,2021,3.37
USA,Agriculture,Inflation,2022,
USA,Agriculture,Inflation,2023,
USA,Agriculture,Unemployment,2015,7119.12
USA,Agriculture,Unemployment,2016,5701.83
USA,Agriculture,Unemployment,2017,8008.65
USA,Agriculture,Unemployment,2018,1165.1
USA,Agriculture,Unemployment,2019,2677.95
USA,Agriculture,Unemployment,2020,9136.98
USA,Agriculture,Unemployment,2021,8468.31
USA,Agriculture,Unemployment,2022,366.28
USA,Agriculture,Unemployment,2023,4167.89
USA,Agriculture,Export Value,2015,1777.38
USA,Agriculture,Export Value,2016,8632.64
USA,Agriculture,Export Value,2017,5011.63
USA,Agriculture,Export Value,2018,
USA,Agriculture,Export Value,2019,7663.2
USA,Agriculture,Export Value,2020,2152.26
USA,Agriculture,Export Value,2021,6774.62
USA,Agriculture,Export Value,2022,2041.1
USA,Agriculture,Export Value,2023,7227.37
USA,Agriculture,Import Value,2015,3640.51
USA,Agriculture,Import Value,2016,9200.6
USA,Agriculture,Import Value,2017,7724.42
USA,Agriculture,Import Value,2018,4023.51
USA,Agriculture,Import Value,2019,1543.23
USA,Agriculture,Import Value,2020,1191.86
USA,Agriculture,Import Value ,2021,6580.18
USA,Agriculture,Import Value,2022,300.69
USA,Agriculture,Import Value,2023,5572.15
USA,Manufacturing,GDP,2015,
USA,Manufacturing,GDP,2016,9014.65
